"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"180",22,4,121,98,2945,14.5,75,2,"volvo 244dl"
"181",25,4,121,115,2671,13.5,75,2,"saab 99le"
"182",33,4,91,53,1795,17.5,75,3,"honda civic cvcc"
"183",28,4,107,86,2464,15.5,76,2,"fiat 131"
"184",25,4,116,81,2220,16.9,76,2,"opel 1900"
"185",25,4,140,92,2572,14.9,76,1,"capri ii"
"186",26,4,98,79,2255,17.7,76,1,"dodge colt"
"187",27,4,101,83,2202,15.3,76,2,"renault 12tl"
"188",17.5,8,305,140,4215,13,76,1,"chevrolet chevelle malibu classic"
"189",16,8,318,150,4190,13,76,1,"dodge coronet brougham"
"190",15.5,8,304,120,3962,13.9,76,1,"amc matador"
"191",14.5,8,351,152,4215,12.8,76,1,"ford gran torino"
"192",22,6,225,100,3233,15.4,76,1,"plymouth valiant"
"193",22,6,250,105,3353,14.5,76,1,"chevrolet nova"
"194",24,6,200,81,3012,17.6,76,1,"ford maverick"
"195",22.5,6,232,90,3085,17.6,76,1,"amc hornet"
"196",29,4,85,52,2035,22.2,76,1,"chevrolet chevette"
"197",24.5,4,98,60,2164,22.1,76,1,"chevrolet woody"
"198",29,4,90,70,1937,14.2,76,2,"vw rabbit"
"199",33,4,91,53,1795,17.4,76,3,"honda civic"
"200",20,6,225,100,3651,17.7,76,1,"dodge aspen se"
"201",18,6,250,78,3574,21,76,1,"ford granada ghia"
"202",18.5,6,250,110,3645,16.2,76,1,"pontiac ventura sj"
"203",17.5,6,258,95,3193,17.8,76,1,"amc pacer d/l"
"204",29.5,4,97,71,1825,12.2,76,2,"volkswagen rabbit"
"205",32,4,85,70,1990,17,76,3,"datsun b-210"
"206",28,4,97,75,2155,16.4,76,3,"toyota corolla"
"207",26.5,4,140,72,2565,13.6,76,1,"ford pinto"
"208",20,4,130,102,3150,15.7,76,2,"volvo 245"
"209",13,8,318,150,3940,13.2,76,1,"plymouth volare premier v8"
"210",19,4,120,88,3270,21.9,76,2,"peugeot 504"
"211",19,6,156,108,2930,15.5,76,3,"toyota mark ii"
"212",16.5,6,168,120,3820,16.7,76,2,"mercedes-benz 280s"
"213",16.5,8,350,180,4380,12.1,76,1,"cadillac seville"
"214",13,8,350,145,4055,12,76,1,"chevy c10"
"215",13,8,302,130,3870,15,76,1,"ford f108"
"216",13,8,318,150,3755,14,76,1,"dodge d100"
"217",31.5,4,98,68,2045,18.5,77,3,"honda accord cvcc"
"218",30,4,111,80,2155,14.8,77,1,"buick opel isuzu deluxe"
"219",36,4,79,58,1825,18.6,77,2,"renault 5 gtl"
"220",25.5,4,122,96,2300,15.5,77,1,"plymouth arrow gs"
"221",33.5,4,85,70,1945,16.8,77,3,"datsun f-10 hatchback"
"222",17.5,8,305,145,3880,12.5,77,1,"chevrolet caprice classic"
"223",17,8,260,110,4060,19,77,1,"oldsmobile cutlass supreme"
"224",15.5,8,318,145,4140,13.7,77,1,"dodge monaco brougham"
"225",15,8,302,130,4295,14.9,77,1,"mercury cougar brougham"
"226",17.5,6,250,110,3520,16.4,77,1,"chevrolet concours"
"227",20.5,6,231,105,3425,16.9,77,1,"buick skylark"
"228",19,6,225,100,3630,17.7,77,1,"plymouth volare custom"
"229",18.5,6,250,98,3525,19,77,1,"ford granada"
"230",16,8,400,180,4220,11.1,77,1,"pontiac grand prix lj"
"231",15.5,8,350,170,4165,11.4,77,1,"chevrolet monte carlo landau"
"232",15.5,8,400,190,4325,12.2,77,1,"chrysler cordoba"
"233",16,8,351,149,4335,14.5,77,1,"ford thunderbird"
"234",29,4,97,78,1940,14.5,77,2,"volkswagen rabbit custom"
"235",24.5,4,151,88,2740,16,77,1,"pontiac sunbird coupe"
"236",26,4,97,75,2265,18.2,77,3,"toyota corolla liftback"
"237",25.5,4,140,89,2755,15.8,77,1,"ford mustang ii 2+2"
"238",30.5,4,98,63,2051,17,77,1,"chevrolet chevette"
"239",33.5,4,98,83,2075,15.9,77,1,"dodge colt m/m"
"240",30,4,97,67,1985,16.4,77,3,"subaru dl"
"241",30.5,4,97,78,2190,14.1,77,2,"volkswagen dasher"
"242",22,6,146,97,2815,14.5,77,3,"datsun 810"
"243",21.5,4,121,110,2600,12.8,77,2,"bmw 320i"
"244",21.5,3,80,110,2720,13.5,77,3,"mazda rx-4"
"245",43.1,4,90,48,1985,21.5,78,2,"volkswagen rabbit custom diesel"
"246",36.1,4,98,66,1800,14.4,78,1,"ford fiesta"
"247",32.8,4,78,52,1985,19.4,78,3,"mazda glc deluxe"
"248",39.4,4,85,70,2070,18.6,78,3,"datsun b210 gx"
"249",36.1,4,91,60,1800,16.4,78,3,"honda civic cvcc"
"250",19.9,8,260,110,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
"251",19.4,8,318,140,3735,13.2,78,1,"dodge diplomat"
"252",20.2,8,302,139,3570,12.8,78,1,"mercury monarch ghia"
"253",19.2,6,231,105,3535,19.2,78,1,"pontiac phoenix lj"
"254",20.5,6,200,95,3155,18.2,78,1,"chevrolet malibu"
"255",20.2,6,200,85,2965,15.8,78,1,"ford fairmont (auto)"
"256",25.1,4,140,88,2720,15.4,78,1,"ford fairmont (man)"
"257",20.5,6,225,100,3430,17.2,78,1,"plymouth volare"
"258",19.4,6,232,90,3210,17.2,78,1,"amc concord"
"259",20.6,6,231,105,3380,15.8,78,1,"buick century special"
"260",20.8,6,200,85,3070,16.7,78,1,"mercury zephyr"
"261",18.6,6,225,110,3620,18.7,78,1,"dodge aspen"
"262",18.1,6,258,120,3410,15.1,78,1,"amc concord d/l"
"263",19.2,8,305,145,3425,13.2,78,1,"chevrolet monte carlo landau"
"264",17.7,6,231,165,3445,13.4,78,1,"buick regal sport coupe (turbo)"
"265",18.1,8,302,139,3205,11.2,78,1,"ford futura"
"266",17.5,8,318,140,4080,13.7,78,1,"dodge magnum xe"
"267",30,4,98,68,2155,16.5,78,1,"chevrolet chevette"
"268",27.5,4,134,95,2560,14.2,78,3,"toyota corona"
"269",27.2,4,119,97,2300,14.7,78,3,"datsun 510"
"270",30.9,4,105,75,2230,14.5,78,1,"dodge omni"
"271",21.1,4,134,95,2515,14.8,78,3,"toyota celica gt liftback"
"272",23.2,4,156,105,2745,16.7,78,1,"plymouth sapporo"
"273",23.8,4,151,85,2855,17.6,78,1,"oldsmobile starfire sx"
"274",23.9,4,119,97,2405,14.9,78,3,"datsun 200-sx"
"275",20.3,5,131,103,2830,15.9,78,2,"audi 5000"
"276",17,6,163,125,3140,13.6,78,2,"volvo 264gl"
"277",21.6,4,121,115,2795,15.7,78,2,"saab 99gle"
"278",16.2,6,163,133,3410,15.8,78,2,"peugeot 604sl"
"279",31.5,4,89,71,1990,14.9,78,2,"volkswagen scirocco"
"280",29.5,4,98,68,2135,16.6,78,3,"honda accord lx"
"281",21.5,6,231,115,3245,15.4,79,1,"pontiac lemans v6"
"282",19.8,6,200,85,2990,18.2,79,1,"mercury zephyr 6"
"283",22.3,4,140,88,2890,17.3,79,1,"ford fairmont 4"
"284",20.2,6,232,90,3265,18.2,79,1,"amc concord dl 6"
"285",20.6,6,225,110,3360,16.6,79,1,"dodge aspen 6"
"286",17,8,305,130,3840,15.4,79,1,"chevrolet caprice classic"
"287",17.6,8,302,129,3725,13.4,79,1,"ford ltd landau"
"288",16.5,8,351,138,3955,13.2,79,1,"mercury grand marquis"
"289",18.2,8,318,135,3830,15.2,79,1,"dodge st. regis"
"290",16.9,8,350,155,4360,14.9,79,1,"buick estate wagon (sw)"
"291",15.5,8,351,142,4054,14.3,79,1,"ford country squire (sw)"
"292",19.2,8,267,125,3605,15,79,1,"chevrolet malibu classic (sw)"
"293",18.5,8,360,150,3940,13,79,1,"chrysler lebaron town @ country (sw)"
"294",31.9,4,89,71,1925,14,79,2,"vw rabbit custom"
"295",34.1,4,86,65,1975,15.2,79,3,"maxda glc deluxe"
"296",35.7,4,98,80,1915,14.4,79,1,"dodge colt hatchback custom"
"297",27.4,4,121,80,2670,15,79,1,"amc spirit dl"
"298",25.4,5,183,77,3530,20.1,79,2,"mercedes benz 300d"
"299",23,8,350,125,3900,17.4,79,1,"cadillac eldorado"
"300",27.2,4,141,71,3190,24.8,79,2,"peugeot 504"
"301",23.9,8,260,90,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
"302",34.2,4,105,70,2200,13.2,79,1,"plymouth horizon"
"303",34.5,4,105,70,2150,14.9,79,1,"plymouth horizon tc3"
"304",31.8,4,85,65,2020,19.2,79,3,"datsun 210"
"305",37.3,4,91,69,2130,14.7,79,2,"fiat strada custom"
"306",28.4,4,151,90,2670,16,79,1,"buick skylark limited"
"307",28.8,6,173,115,2595,11.3,79,1,"chevrolet citation"
"308",26.8,6,173,115,2700,12.9,79,1,"oldsmobile omega brougham"
"309",33.5,4,151,90,2556,13.2,79,1,"pontiac phoenix"
"310",41.5,4,98,76,2144,14.7,80,2,"vw rabbit"
"311",38.1,4,89,60,1968,18.8,80,3,"toyota corolla tercel"
"312",32.1,4,98,70,2120,15.5,80,1,"chevrolet chevette"
"313",37.2,4,86,65,2019,16.4,80,3,"datsun 310"
"314",28,4,151,90,2678,16.5,80,1,"chevrolet citation"
"315",26.4,4,140,88,2870,18.1,80,1,"ford fairmont"
"316",24.3,4,151,90,3003,20.1,80,1,"amc concord"
"317",19.1,6,225,90,3381,18.7,80,1,"dodge aspen"
"318",34.3,4,97,78,2188,15.8,80,2,"audi 4000"
"319",29.8,4,134,90,2711,15.5,80,3,"toyota corona liftback"
"320",31.3,4,120,75,2542,17.5,80,3,"mazda 626"
"321",37,4,119,92,2434,15,80,3,"datsun 510 hatchback"
"322",32.2,4,108,75,2265,15.2,80,3,"toyota corolla"
"323",46.6,4,86,65,2110,17.9,80,3,"mazda glc"
"324",27.9,4,156,105,2800,14.4,80,1,"dodge colt"
"325",40.8,4,85,65,2110,19.2,80,3,"datsun 210"
"326",44.3,4,90,48,2085,21.7,80,2,"vw rabbit c (diesel)"
"327",43.4,4,90,48,2335,23.7,80,2,"vw dasher (diesel)"
"328",36.4,5,121,67,2950,19.9,80,2,"audi 5000s (diesel)"
"329",30,4,146,67,3250,21.8,80,2,"mercedes-benz 240d"
"330",44.6,4,91,67,1850,13.8,80,3,"honda civic 1500 gl"
"332",33.8,4,97,67,2145,18,80,3,"subaru dl"
"333",29.8,4,89,62,1845,15.3,80,2,"vokswagen rabbit"
"334",32.7,6,168,132,2910,11.4,80,3,"datsun 280-zx"
"335",23.7,3,70,100,2420,12.5,80,3,"mazda rx-7 gs"
"336",35,4,122,88,2500,15.1,80,2,"triumph tr7 coupe"
"338",32.4,4,107,72,2290,17,80,3,"honda accord"
"339",27.2,4,135,84,2490,15.7,81,1,"plymouth reliant"
"340",26.6,4,151,84,2635,16.4,81,1,"buick skylark"
"341",25.8,4,156,92,2620,14.4,81,1,"dodge aries wagon (sw)"
"342",23.5,6,173,110,2725,12.6,81,1,"chevrolet citation"
"343",30,4,135,84,2385,12.9,81,1,"plymouth reliant"
"344",39.1,4,79,58,1755,16.9,81,3,"toyota starlet"
"345",39,4,86,64,1875,16.4,81,1,"plymouth champ"
"346",35.1,4,81,60,1760,16.1,81,3,"honda civic 1300"
"347",32.3,4,97,67,2065,17.8,81,3,"subaru"
"348",37,4,85,65,1975,19.4,81,3,"datsun 210 mpg"
"349",37.7,4,89,62,2050,17.3,81,3,"toyota tercel"
"350",34.1,4,91,68,1985,16,81,3,"mazda glc 4"
"351",34.7,4,105,63,2215,14.9,81,1,"plymouth horizon 4"
"352",34.4,4,98,65,2045,16.2,81,1,"ford escort 4w"
"353",29.9,4,98,65,2380,20.7,81,1,"ford escort 2h"
"354",33,4,105,74,2190,14.2,81,2,"volkswagen jetta"
"356",33.7,4,107,75,2210,14.4,81,3,"honda prelude"
"357",32.4,4,108,75,2350,16.8,81,3,"toyota corolla"
"358",32.9,4,119,100,2615,14.8,81,3,"datsun 200sx"
"359",31.6,4,120,74,2635,18.3,81,3,"mazda 626"
"360",28.1,4,141,80,3230,20.4,81,2,"peugeot 505s turbo diesel"
"361",30.7,6,145,76,3160,19.6,81,2,"volvo diesel"
"362",25.4,6,168,116,2900,12.6,81,3,"toyota cressida"
"363",24.2,6,146,120,2930,13.8,81,3,"datsun 810 maxima"
"364",22.4,6,231,110,3415,15.8,81,1,"buick century"
"365",26.6,8,350,105,3725,19,81,1,"oldsmobile cutlass ls"
"366",20.2,6,200,88,3060,17.1,81,1,"ford granada gl"
"367",17.6,6,225,85,3465,16.6,81,1,"chrysler lebaron salon"
"368",28,4,112,88,2605,19.6,82,1,"chevrolet cavalier"
"369",27,4,112,88,2640,18.6,82,1,"chevrolet cavalier wagon"
"370",34,4,112,88,2395,18,82,1,"chevrolet cavalier 2-door"
"371",31,4,112,85,2575,16.2,82,1,"pontiac j2000 se hatchback"
"372",29,4,135,84,2525,16,82,1,"dodge aries se"
"373",27,4,151,90,2735,18,82,1,"pontiac phoenix"
"374",24,4,140,92,2865,16.4,82,1,"ford fairmont futura"
"375",36,4,105,74,1980,15.3,82,2,"volkswagen rabbit l"
"376",37,4,91,68,2025,18.2,82,3,"mazda glc custom l"
"377",31,4,91,68,1970,17.6,82,3,"mazda glc custom"
"378",38,4,105,63,2125,14.7,82,1,"plymouth horizon miser"
"379",36,4,98,70,2125,17.3,82,1,"mercury lynx l"
"380",36,4,120,88,2160,14.5,82,3,"nissan stanza xe"
"381",36,4,107,75,2205,14.5,82,3,"honda accord"
"382",34,4,108,70,2245,16.9,82,3,"toyota corolla"
"383",38,4,91,67,1965,15,82,3,"honda civic"
"384",32,4,91,67,1965,15.7,82,3,"honda civic (auto)"
"385",38,4,91,67,1995,16.2,82,3,"datsun 310 gx"
"386",25,6,181,110,2945,16.4,82,1,"buick century limited"
"387",38,6,262,85,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"388",26,4,156,92,2585,14.5,82,1,"chrysler lebaron medallion"
"389",22,6,232,112,2835,14.7,82,1,"ford granada l"
"390",32,4,144,96,2665,13.9,82,3,"toyota celica gt"
"391",36,4,135,84,2370,13,82,1,"dodge charger 2.2"
"392",27,4,151,90,2950,17.3,82,1,"chevrolet camaro"
"393",27,4,140,86,2790,15.6,82,1,"ford mustang gl"
"394",44,4,97,52,2130,24.6,82,2,"vw pickup"
"395",32,4,135,84,2295,11.6,82,1,"dodge rampage"
"396",28,4,120,79,2625,18.6,82,1,"ford ranger"
"397",31,4,119,82,2720,19.4,82,1,"chevy s-10"
